N,"T(N,5)"
1,5
2,20
3,40
4,60
5,60
6,110
7,70
8,145
9,140
10,170
11,90
12,310
13,80
14,210
15,320
16,255
17,100
18,380
19,110
20,480
21,370
22,230
23,130
24,680
25,230
26,260
27,365
28,540
29,130
30,810
31,120
32,480
33,430
34,300
35,600
36,970
37,100
38,290
39,510
40,1000
41,130
42,930
43,130
44,670
45,970
46,280
47,170
48,1260
49,310
50,650
51,470
52,690
53,160
54,970
55,700
56,1180
57,500
58,320
59,190
60,2060
61,110
62,340
63,1260
64,760
65,670
66,1060
67,140
68,770
69,570
70,1430
71,200
72,2030
73,120
74,340
75,1190
76,770
77,780
78,1150
79,190
80,1870
81,685
82,360
83,200
84,2420
85,690
86,340
87,600
88,1380
89,210
90,2510
91,710
92,720
93,590
94,380
95,830
96,2050
97,160
98,900
99,1380
100,1660
101,160
102,1260
103,190
104,1550
105,2440
106,370
107,210
108,2340
109,170
110,1650
111,670
112,2090
113,160
114,1350
115,840
116,870
117,1500
118,440
119,1000
120,4170
121,340
122,350
123,610
124,890
125,735
126,2870
127,170
128,1145
129,640
130,1770
131,220
132,2870
133,860
134,420
135,2390
136,1500
137,170
138,1370
139,230
140,3480
141,650
142,430
143,1070
144,3750
145,720
146,390
147,1460
148,870
149,220
150,2870
151,190
152,1710
153,1570
154,2010
155,940
156,2770
157,160
158,410
159,740
160,3170
161,990
162,1790
163,170
164,980
165,2960
166,450
167,280
168,5080
169,420
170,1870
171,1540
172,900
173,200
174,1550
175,2080
176,2420
177,640
178,490
179,290
180,6180
181,180
182,1950
183,700
184,1580
185,840
186,1420
187,1020
188,1000
189,2790
190,1850
191,240
192,3230
193,150
194,490
195,3120
196,2110
197,230
198,3370
199,240
200,3450
201,650
202,460
203,1110
204,3190
205,890
206,490
207,1820
208,2740
209,1130
210,5830
211,140
212,920
213,650
214,500
215,1100
216,4735
217,890
218,450
219,760
220,4140
221,1000
222,1540
223,260
224,3740
225,3340
226,410
227,240
228,3320
229,230
230,2080
231,3280
232,1720
233,240
234,3500
235,970
236,1000
237,820
238,2260
239,330
240,7480
241,160
242,1040
243,1330
244,1030
245,2160
246,1520
247,1080
248,1820
249,790
250,1840
251,320
252,7230
253,1060
254,440
255,3230
256,1565
257,180
258,1650
259,1050
260,4410
261,1680
262,480
263,300
264,5960
265,940
266,2130
267,690
268,1030
269,300
270,5800
271,240
272,2840
273,3510
274,470
275,2420
276,3290
277,180
278,530
279,2000
280,7050
281,160
282,1520
283,220
284,1130
285,3410
286,2420
287,1180
288,6120
289,460
290,1880
291,740
292,1050
293,260
294,3670
295,1020
296,1980
297,3170
298,560
299,1300
300,7020
301,960
302,460
303,810
304,2900
305,1010
306,3850
307,250
308,4920
309,810
310,2190
311,280
312,5860
313,200
314,530
315,7330
316,950
317,220
318,1660
319,1260
320,4850
321,790
322,2460
323,1260
324,4540
325,2140
326,430
327,870
328,1990
329,1240
330,6800
331,180
332,1070
333,1890
334,560
335,1240
336,8810
337,220
338,1190
339,820
340,4840
341,1190
342,3910
343,905
344,1940
345,3340
346,470
347,250
348,3640
349,290
350,5070
351,3540
352,3860
353,180
354,1690
355,1110
356,1200
357,3770
358,600
359,390
360,12430
361,440
362,530
363,1890
364,4920
365,930
366,1560
367,260
368,2920
369,1920
370,2210
371,1240
372,3640
373,250
374,2700
375,3080
376,2000
377,1320
378,6590
379,250
380,4650
381,780
382,500
383,330
384,5070
385,4890
386,480
387,1880
388,1190
389,310
390,7450
391,1270
392,4390
393,760
394,550
395,1230
396,8260
397,180
398,570
399,4050
400,6130
401,210
402,1710
403,1180
404,1250
405,4680
406,2540
407,1260
408,6370
409,200
410,2210
411,800
412,1210
413,1330
414,4160
415,1240
416,4490
417,930
418,2760
419,390
420,14130
421,130
422,430
423,1970
424,1970
425,2450
426,1700
427,1040
428,1210
429,4250
430,2320
431,360
432,8455
433,240
434,2460
435,3560
436,1080
437,1290
438,1800
439,340
440,8600
441,4470
442,2570
443,230
444,3640
445,1000
446,530
447,990
448,5680
449,330
450,8390
451,1060
452,1090
453,890
454,610
455,5480
456,6600
457,190
458,610
459,3680
460,5000
461,300
462,7840
463,230
464,3150
465,3580
466,550
467,340
468,8480
469,1060
470,2250
471,830
472,2060
473,1190
474,1940
475,2830
476,5390
477,2010
478,600
479,420
480,12450
481,990
482,540
483,3880
484,2640
485,1070
486,3120
487,240
488,2120
489,850
490,5260
491,270
492,3980
493,1380
494,2840
495,8590
496,3050
497,1220
498,1770
499,260
500,4280
501,870
502,650
503,430
504,14660
505,1080
506,2520
507,2060
508,1100
509,320
510,7750
511,1200
512,2370
513,3460
514,520
515,1220
516,3950
517,1340
518,2650
519,1000
520,8920
521,270
522,4220
523,230
524,1350
525,8530
526,630
527,1470
528,10350
529,590
530,2470
531,2010
532,5390
533,1180
534,1760
535,1210
536,2090
537,890
538,710
539,3270
540,13580
541,160
542,540
543,1010
544,4670
545,1150
546,8220
547,210
548,1210
549,2230
550,5720
551,1460
552,6840
553,1150
554,540
555,3870
556,1180
557,310
558,4620
559,1500
560,12950
561,3940
562,440
563,260
564,3870
565,1050
566,630
567,5340
568,2160
569,320
570,7930
571,280
572,5920
573,970
574,2730
575,3070
576,9240
577,230
578,1290
579,890
580,5230
581,1200
582,1910
583,1390
584,2370
585,8710
586,610
587,340
588,8890
589,1290
590,2350
591,930
592,3370
593,320
594,7890
595,5530
596,1210
597,980
598,2880
599,420
600,13880
601,200
602,2620
603,2030
604,1190
605,2750
606,1840
607,320
608,5010
609,4380
610,2540
611,1540
612,9190
613,210
614,640
615,4160
616,9700
617,220
618,1880
619,290
620,5450
621,3880
622,620
623,1610
624,10700
625,1445
626,590
627,4410
628,1330
629,1500
630,16950
631,160
632,1930
633,760
634,540
635,1300
636,4120
637,2870
638,2820
639,2180
640,6900
641,220
642,1890
643,340
644,5940
645,4060
646,3000
647,390
648,9295
649,1470
650,5790
651,4090
652,1130
653,230
654,2030
655,1300
656,3500
657,2230
658,2940
659,410
660,16720
661,250
662,570
663,4600
664,2290
665,5760
666,4480
667,1310
668,1230
669,1040
670,2720
671,1590
672,14250
673,200
674,610
675,7930
676,2810
677,220
678,1980
679,1260
680,9420
681,920
682,2910
683,340
684,9430
685,1060
686,2300
687,990
688,3400
689,1450
690,8190
691,260
692,1350
693,9990
694,570
695,1350
696,7140
697,1290
698,660
699,1060
700,11860
701,370
702,8240
703,1370
704,6200
705,3840
706,490
707,1300
708,3990
709,270
710,2630
711,2350
712,2420
713,1540
714,9040
715,6000
716,1220
717,960
718,720
719,500
720,21890
721,1150
722,1290
723,840
724,1310
725,2730
726,4380
727,330
728,10390
729,2150
730,2440
731,1420
732,4050
733,270
734,710
735,9020
736,4770
737,1370
738,4540
739,310
740,5520
741,4710
742,2810
743,300
744,7370
745,1080
746,640
747,2340
748,6610
749,1500
750,7060
751,250
752,3500
753,990
754,3190
755,1530
756,15880
757,210
758,610
759,4930
760,9490
761,200
762,1940
763,1300
764,1300
765,9420
766,600
767,1680
768,6900
769,320
770,11540
771,850
772,1240
773,320
774,4870
775,3090
776,2520
777,4560
778,750
779,1740
780,17530
781,1450
782,3070
783,4110
784,7440
785,1020
786,1730
787,230
788,1300
789,1060
790,2840
791,1670
792,16700
793,1100
794,520
795,4090
796,1300
797,380
798,9560
799,1600
800,10240
801,1980
802,580
803,1360
804,4320
805,5970
806,2880
807,930
808,2420
809,380
810,11010
811,280
812,6070
813,1040
814,3020
815,1440
816,11560
817,1310
818,670
819,10480
820,5340
821,240
822,2000
823,310
824,2560
825,9700
826,2970
827,340
828,9770
829,240
830,2750
831,1100
832,6860
833,3340
834,2200
835,1500
836,6690
837,4100
838,750
839,520
840,28320
841,500
842,450
843,820
844,1240
845,2940
846,4730
847,3020
848,3390
849,1000
850,6140
851,1420
852,4220
853,280
854,2900
855,9690
856,2270
857,330
858,9610
859,300
860,5680
861,4350
862,640
863,430
864,13700
865,1110
866,650
867,2310
868,6090
869,1630
870,8550
871,1350
872,2290
873,2290
874,3100
875,5110
876,4190
877,250
878,670
879,1180
880,15090
881,370
882,10490
883,300
884,6450
885,3970
886,540
887,350
888,7550
889,1290
890,2660
891,5950
892,1330
893,1500
894,2240
895,1510
896,8560
897,5040
898,790
899,1830
900,20250
901,1410
902,2920
903,4490
904,2180
905,1100
906,1880
907,270
908,1460
909,2530
910,12620
911,380
912,11790
913,1360
914,580
915,4180
916,1470
917,1530
918,8810
919,320
920,10120
921,1030
922,760
923,1810
924,19430
925,2720
926,580
927,2410
928,5110
929,350
930,8690
931,3020
932,1250
933,1020
934,790
935,6920
936,17010
937,250
938,2810
939,900
940,5680
941,230
942,2060
943,1660
944,4030
945,16230
946,2800
947,290
948,4450
949,1300
950,6290
951,1120
952,10480
953,290
954,4630
955,1350
956,1340
957,5100
958,720
959,1730
960,18780
961,590
962,3000
963,2190
964,1410
965,1350
966,9380
967,310
968,5530
969,4690
970,2740
971,370
972,7910
973,1310
974,690
975,9980
976,3510
977,250
978,2130
979,1720
980,12640
981,2300
982,590
983,360
984,8090
985,1400
986,3370
987,4880
988,6770
989,1730
990,19820
991,250
992,5110
993,890
994,2980
995,1240
996,4230
997,290
998,680
999,4650
1000,8795
1001,6830
1002,2100
1003,1480
1004,1480
1005,4410
1006,800
1007,1930
1008,25400
1009,220
1010,2670
1011,1030
1012,6410
1013,300
1014,5070
1015,6190
1016,2260
1017,2210
1018,720
1019,450
1020,18610
1021,270
1022,2970
1023,5090
1024,3260
1025,3140
1026,8630
1027,1440
1028,1340
1029,3910
1030,2770
1031,360
1032,7940
1033,300
1034,3370
1035,10210
1036,6300
1037,1290
1038,2120
1039,410
1040,15690
1041,930
1042,680
1043,1670
1044,10410
1045,6300
1046,560
1047,1120
1048,2630
1049,420
1050,19550
1051,240
1052,1460
1053,6620
1054,3390
1055,1540
1056,16200
1057,1250
1058,1390
1059,870
1060,5890
1061,280
1062,4970
1063,370
1064,11410
1065,4300
1066,3090
1067,1480
1068,4390
1069,300
1070,3070
1071,11360
1072,3660
1073,1410
1074,2120
1075,3300
1076,1580
1077,1220
1078,7610
1079,2030
1080,27290
1081,1400
1082,510
1083,2300
1084,1410
1085,6300
1086,2180
1087,360
1088,7310
1089,5450
1090,2830
1091,400
1092,19760
1093,190
1094,570
1095,4270
1096,2300
1097,310
1098,5150
1099,1440
1100,13590
1101,1110
1102,3220
1103,410
1104,12440
1105,6140
1106,2870
1107,4050
1108,1280
1109,350
1110,9090
1111,1440
1112,2530
1113,4710
1114,690
1115,1590
1116,10590
1117,290
1118,3320
1119,1380
1120,21050
1121,1640
1122,9790
1123,270
1124,1390
1125,8460
1126,650
1127,3660
1128,7830
1129,260
1130,2730
1131,5080
1132,1520
1133,1730
1134,12510
1135,1370
1136,3600
1137,1010
1138,760
1139,1690
1140,19080
1141,1230
1142,650
1143,2610
1144,12020
1145,1270
1146,2040
1147,1510
1148,6460
1149,1170
1150,6870
1151,460
1152,13960
1153,230
1154,740
1155,19700
1156,3160
1157,1530
1158,2090
1159,1620
1160,10590
1161,4160
1162,2860
1163,270
1164,4510
1165,1370
1166,3090
1167,1170
1168,4050
1169,1670
1170,20710
1171,250
1172,1470
1173,5340
1174,790
1175,3600
1176,17550
1177,1460
1178,3210
1179,2310
1180,5760
1181,270
1182,2270
1183,3380
1184,5590
1185,4390
1186,770
1187,480
1188,18740
1189,1590
1190,12890
1191,930
1192,2330
1193,270
1194,2360
1195,1530
1196,7260
1197,11560
1198,770
1199,1770
1200,24040
1201,180
1202,560
1203,1010
1204,6330
1205,1330
1206,5010
1207,1640
1208,2510
1209,5330
1210,6610
1211,1510
1212,4420
1213,300
1214,790
1215,8550
1216,7420
1217,360
1218,10360
1219,1660
1220,6370
1221,5300
1222,3410
1223,460
1224,18590
1225,6780
1226,490
1227,890
1228,1380
1229,350
1230,9480
1231,400
1232,17220
1233,2310
1234,600
1235,6960
1236,4520
1237,300
1238,740
1239,5200
1240,10710
1241,1590
1242,9320
1243,1400
1244,1470
1245,4760
1246,3360
1247,1800
1248,16930
1249,270
1250,3820
1251,2450
1252,1530
1253,1760
1254,10670
1255,1560
1256,2680
1257,1190
1258,3790
1259,590
1260,40940
1261,1240
1262,470
1263,990
1264,3590
1265,6660
1266,1930
1267,1350
1268,1420
1269,4420
1270,2890
1271,1700
1272,8550
1273,1630
1274,7590
1275,10820
1276,6820
1277,300
1278,4930
1279,380
1280,9920
1281,4600
1282,600
1283,300
1284,4680
1285,1230
1286,830
1287,12440
1288,11750
1289,330
1290,9300
1291,310
1292,7170
1293,1030
1294,850
1295,7070
1296,16005
1297,250
1298,3390
1299,1170
1300,14100
1301,320
1302,9830
1303,290
1304,2530
1305,10070
1306,590
1307,330
1308,5000
1309,7520
1310,2980
