p,contrib,C,maxterm
5,6,11,4
7,7,13,4
11,9,17,6
13,8,15,4
17,10,19,6
19,11,21,6
23,13,25,8
29,13,25,8
31,12,23,6
37,10,19,4
41,13,25,8
43,13,25,6
47,18,33,10
53,16,31,8
59,20,37,12
61,11,21,6
67,14,27,6
71,20,39,12
73,13,23,6
79,19,37,10
83,21,39,12
89,21,41,12
97,16,31,6
101,16,31,8
103,20,37,8
107,23,41,12
109,17,33,8
113,16,31,8
127,17,33,8
131,22,43,12
137,17,33,8
139,25,45,12
149,23,43,12
151,19,37,8
157,17,31,6
163,17,33,8
167,29,55,16
173,20,39,8
179,30,57,18
181,19,35,8
191,26,47,14
193,16,29,8
197,24,45,12
199,24,47,12
211,14,27,6
223,26,51,12
227,27,47,12
229,24,45,8
233,26,47,12
239,35,65,20
241,17,31,6
251,35,63,18
257,18,35,8
263,32,59,16
269,31,59,16
271,24,47,10
277,18,35,8
281,16,31,8
283,23,43,8
293,27,51,12
307,27,49,12
311,30,55,16
313,22,39,12
317,24,43,8
331,19,35,6
337,24,43,6
347,26,49,12
349,30,57,12
353,18,35,8
359,43,77,24
367,29,51,10
373,26,49,8
379,26,49,12
383,34,65,16
389,34,61,16
397,18,35,8
401,23,41,8
409,22,39,8
419,42,77,24
421,13,25,6
431,38,71,20
433,26,47,8
439,35,67,16
443,23,45,12
449,34,65,18
457,20,37,8
461,32,59,16
463,25,45,10
467,37,67,18
479,45,83,24
487,27,47,8
491,27,53,12
499,29,51,12
503,45,85,24
509,34,63,16
521,29,53,12
523,24,45,12
541,18,31,6
547,21,41,6
557,32,61,12
563,27,51,12
569,37,63,16
571,31,55,12
577,26,45,6
587,37,67,18
593,36,63,16
599,44,83,24
601,21,39,8
607,35,63,12
613,22,41,8
617,22,43,8
619,31,57,12
631,16,31,8
641,24,43,8
643,37,67,12
647,41,77,20
653,24,45,8
659,45,81,24
661,30,49,8
673,21,39,12
677,23,43,8
683,36,67,18
691,27,51,12
701,38,73,16
709,30,53,8
719,54,99,30
727,34,65,16
733,29,53,12
739,35,61,12
743,32,59,16
751,26,49,10
757,22,41,8
761,21,39,8
769,34,63,16
773,34,63,12
787,26,45,6
797,43,75,16
809,40,75,20
811,29,55,12
821,27,47,8
823,34,61,12
827,36,67,18
829,25,47,8
839,56,103,32
853,29,55,12
857,37,65,16
859,31,59,12
863,47,85,24
877,28,49,10
881,38,73,18
883,33,59,12
887,37,69,16
907,28,53,8
911,42,75,20
919,33,63,16
929,37,69,16
937,27,49,8
941,23,45,8
947,31,57,12
953,33,57,12
967,33,61,12
971,40,73,18
977,27,49,9
983,41,71,16
991,26,49,12
997,34,57,8
1009,22,43,8
1013,32,59,12
1019,49,89,24
1021,28,53,8
1031,38,71,16
1033,33,59,12
1039,46,81,20
1049,45,83,24
1051,24,47,10
1061,28,55,12
1063,40,73,16
1069,32,59,12
1087,38,71,14
1091,47,79,24
1093,21,37,8
1097,33,61,12
1103,42,81,20
1109,40,69,16
1117,32,57,12
1123,29,53,12
1129,27,51,8
1151,49,91,24
1153,23,45,16
1163,28,53,12
1171,27,49,8
1181,27,53,8
1187,53,95,24
