  q = 2   C(P) = #{(A,U,V) nonzero : A U V = P + U + V},  P irreducible
    n     irreducibles used     min C      max C      mean C     mean/n^2
    2            1                 7          7         7.0       1.750
    3            2                15         15        15.0       1.667
    4            3                25         25        25.0       1.562
    5            3                35         39        37.7       1.507
    6            3                45         55        48.3       1.343
    7            3                57         75        67.7       1.381
    8            3                71         75        73.7       1.151
    9            3                89        111        99.7       1.230
   10            3                95        151       117.0       1.170
   11            3               141        153       148.3       1.226
   12            3               151        209       175.7       1.220
   13            3               157        283       199.0       1.178
